original,line
1964,think is one of the great things about
1965,think it is is one of the great things
1966,think it's bad I don't think it's any
1967,think it's danger it would have been
1968,think it's going to be kind of an
1969,think Kim was part of the part of what
1970,think of like 37 different things I
1971,think that it is if there is a
1972,think that there's something even more
1973,think to compose on a word processor or
1974,think was a great pen so it's a it's a
1975,think your is that your files will be
1976,thinking about in a sort of genesis of a
1977,thinking anyway free living but I do the
1978,thinking there's a poem out here and
1979,third of the way that it goes although
1980,third process being an organizational
1981,this brick look I've got to read from
1982,this down on in a notebook right
1983,this ever stop I think
1984,this is my this is this shirt used to
1985,this is sinister ask a question again I
1986,this kind of chronic chronology there in
1987,this moment was in six quatrains not
1988,this move to a New York house and I
1989,this on TV right just as well
1990,this part of Idaho in the winter there's
1991,this part of the world so I got kind of
1992,this pile of books here on on the futon
1993,this pile of things goes into
1994,this poem and I don't know
1995,this point I can't quite bring myself to
1996,this point I know how it affects the way
1997,this sort of I guess what were your
1998,this stuff is that it allows me to feel
1999,this time Wow well on Cilla Veen
2000,this undeniable hardness of the quatrain
2001,this visual page it's gotta know it's
2002,those boxes out of the closet get the
2003,those data
2004,those email last time I sent poems to
2005,those kinds of things to just to have
2006,those notebooks now it can be a stanza
2007,those off I've got it I think I've got
2008,those poems yeah it's like once that
2009,those required a lot more movement about
2010,those sort of loose on the net and in
2011,those those people I haven't used any of
2012,those who can raise digital natives or
2013,thought to myself what happens if I
2014,three credits that way well I walked
2015,three I got down to like like I would
2016,three okay all right um we should be
2017,three or four or five poems to sin which
2018,three poems and even then I think I
2019,three years old then 96 was the first
2020,throughout oh yeah oh yeah from from
2021,Thursday Wednesday tends to be my campus
2022,tie those poems together and if I write
2023,time and so you went from you were your
2024,time now for 20 years yeah and you know
2025,time rejection was like that's what
2026,time so how long have you been writing
2027,times I'll publish a poem in a magazine
2028,times or is it whenever well it's mostly
2029,title or though now and this has got
2030,to a box but I haven't brought the new
2031,to a poem like that it's the poem called
2032,to be so recorded today oh good yeah
2033,to be supportive and can tell when she
2034,to come out and print off of the whole
2035,to comprise that book because it
2036,to determine where the lines and but
2037,to do Wednesday I'll do Friday but I'd
2038,to find a way to connect the sections
2039,to forget it because she's a prose
2040,to go through the boxes which ultimately
2041,to have it you got a sweet yeah you got
2042,to have that you got to have a
2043,to know about and sometimes beyond they
2044,to leave while you sort of said that's
2045,to me about assisting with arrows and
2046,to me because you lower your standards
2047,to Missoula Montana as I could find and
2048,to my alma mater where I was an adjunct
2049,to not so much to prose and certainly
2050,to save that in some in hardcopy I guess
2051,to shut up
2052,to sort of like in place person kind of
2053,to the boring question there are no
2054,to the computer or I'll get stopped I
2055,to trick myself I know how to uh I know
2056,to what it might have been called unless
2057,to word and open it's just chaos right
2058,to worry about finding a publisher and
2059,today I guess are there any sort of
2060,today I I quit about what is it now well
2061,together and not that way
2062,together has any of your relationship to
2063,together so that the assemblage of the
2064,together with duct tape and that's a big
2065,tomorrow coming to 2:30 so it's it's
2066,tonight I'll talk to you about them
2067,took it in to live to show it to Kim and
2068,tray where things go in and I'll bring
2069,tremendously witty and he's especially
2070,try to keep what I write the poems
2071,trying to figure out what was done and
2072,Tuesdays and Thursdays I'm usually in by
2073,turned down because I had an NEA and I
2074,turrets since 24 line originally and the
2075,two books came from the University of
2076,two or three drafts that's let's see
2077,two or three letters from Billy Collins
2078,two that's confused to me well no thank
2079,type 2 a typewritten document yeah but I
2080,typed up then it was and it was really
2081,typewriter in the same similar yeah yeah
2082,typewriter the computer is any different
2083,typewriter then going back from the
2084,typewriters computer was there a
2085,typewritten sheet to the to longhand in
2086,ultimately in revisions I wind up
2087,um
2088,um had a standing-room-only crowd was
2089,um I dunno
2090,um okay so we're really good thank you
2091,under construction and then there's kind
2092,under your vision I mean and along with
2093,undergraduate student I got discharged
2094,understand it's absolutely of readings
2095,understand what you're saying but I also
2096,understanding my teaching schedule will
2097,understood subject oh yeah well yeah
2098,university at all or is there just the
2099,university machine how do you save your
2100,until I sort of gave myself this
2101,until somebody offers me enough money
2102,up and I don't know what I wanted to
2103,up gets things going and sometimes I'll
2104,up the computer and all my boxes of
2105,up with the long answer talking about my
2106,up you back up your work by using a
2107,URI save and it's completely new date so
2108,us our general description of the arc of
2109,us somebody that seems like more like a
2110,us sometimes there's a little bit more
2111,use it for every one I think I think so
2112,used if I've got a hundred I've use to
2113,useful thing and I still use it every
2114,uses mosey he uses one other backup
2115,using them basically just for like as
2116,usually a box will take two years to
2117,usually just a title and sometimes I'll
2118,usually what that meant was that it
2119,versus the next to automatically take
2120,very comfortable with that ever since
2121,very much nature driven sort of sort of
2122,very often that post poem I just point
2123,via email anymore and I try to print
2124,Viking was there and the director of
2125,violation if you put it folded in an
2126,voice again and do more and I keep
2127,voice Alliance is equal
2128,volume of contemporary poetry every week
2129,wait a minute why am i why are these
2130,want anything that I own on that
2131,want people to buy them otherwise they
2132,want poems to be available down to a to
2133,want that no yeah where did you write
2134,wanted to do with it and put it use it
2135,wanted to live in the south and France
2136,wanted to write novels that sold a lot
2137,warmed up before an interesting read and
2138,warmed up I'd write a letter to somebody
2139,warmed up now read actually I write
2140,warmed up to maybe do a little email
2141,was a he was never a wee boy he's nine
2142,was a man behind of Clyde fix me who's
2143,was alone more often than not I wasn't
2144,was an idiot I didn't know anything and
2145,was crazy and in winter it was it was
2146,was good it was kind of it was an
2147,was I happen to be doing the writing
2148,was is lovely
2149,was it was an interesting place to start
2150,was sort of a precursor all those
2151,was teaching at the University of Oregon
2152,was the first one I did with Pam
2153,was to call up individual poems out of a
2154,watching her but all that came through
2155,way back then and I've got well in those
2156,way but you know my students tend to be
2157,way I can tinker with it but then I find
2158,way I don't think any other way as I get
2159,way of seeing it but I was always after
2160,way they go into the box so that I will
2161,way to work I mean right it's it's a
2162,waylaid and that was 1972 which was 41
2163,waylaid by geography and poetry
2164,we ought to be as be able to be as
2165,we write right and it clearly does yeah
2166,weeks but Allah while I would do it I
2167,weeks later I had an offer in a contract
2168,weight you lose a file there you could
2169,well as a little pilot I brought back
2170,well but if you're getting annoyed with
2171,well fit is the kind of Master File yes
2172,well I mean most fundamentally of course
2173,well I really I guess I I would say
2174,well I think they cover pretty much
2175,well I'm sort of after boring this in
2176,well it's there's there's there's Lucy
2177,well let me let me grab it let me grab
2178,well right before we left for the UK to
2179,well when I went to Montana you know I
2180,well yeah I did on this bookshelf here
2181,well yeah so April so it's like seven
2182,were 11 programs in the country that
2183,were that way because there's a kind of
2184,weren't so old and weren't taking care
2185,what do you do anything too busy to get
2186,what I call wind spread sonnets out of
2187,what I don't know what those are and
2188,what I perceived as the finished product
2189,what is it like does it could be oh yeah
2190,what is so you know books into this
2191,what it was like in the beginning
2192,what right well and I tried to use you
2193,what so what's what's your operating
2194,what that means yeah
2195,what the next book is and I just
2196,what this is like yeah you just okay
2197,what yeah yeah and I think that it's
2198,what year was that 1999 was my first
2199,what you know is so exciting is cristy
2200,what you mean he's I said that I got
2201,whatever has they sort of changed your
2202,whatever I'd already saved on the
2203,what's the next thing that happens in
2204,wheels turning and then I can turn here
2205,when did email start to become their
2206,when I start assembling a book and I
2207,when I took this job that was my
2208,when I turn to this to this notebook
2209,when I when I know what the book is
2210,when I would create a file on the
2211,when to be quiet they did not know when
2212,when you have this but you have the
2213,whenever I can I've got I mean I have
2214,where it leads me and and you know I've
2215,where that sound takes me inside the
2216,where we are I am Robert Wrigley I was
2217,whether it will be a comb that for some
2218,whether it's movable type or right or
2219,which day they came into being of it
2220,which I was sitting like this at my feet
2221,which is a very sweet thing and I loved
2222,which is the same a final in quotes
2223,which our volumes not divided into
2224,which was that when in the beginning as
2225,which was when I was at in fact an
2226,which will mean look for the asterisk on
2227,while I was there with that yeah it was
2228,while I while it was plugged in it would
2229,who is it who is here most recently ah
2230,who was a student of Ricky's it was too
2231,whole lot I have Kim as my principle
2232,whole lot more convenient and I'm sure I
2233,whole lot of file yeah
2234,whom I've known for a long time since he
2235,who's who is so frightened of losing
2236,why didn't I as far as I knew for a long
2237,why I did that it just seems like hard
2238,wide Hirsch came out here showed me my
2239,Winkle who says hi hi back man um and it
2240,with a sonnet yeah and I don't really
2241,with form to the last poem in the book
2242,with page numbers although I'll have the
2243,with two in the books my third book what
2244,with you you had a spring binder to keep
2245,without
2246,without her but I mean I I did I didn't
2247,without page numbers which are then
2248,without really having that sort of an
2249,wonderful discussion about what
2250,wonderful file of letters which is a
2251,won't it's in the boxes and the boxes
2252,won't know where to go I mean you know
2253,won't work it won't work on the Mac I'd
2254,woods in this part of Idaho burns right
2255,word in the subsequent line that can
2256,words the lesser Italian word for room
2257,work draws the attention of some kind of
2258,work into its first draft and then the
2259,work on a poem print off a draft put a
2260,work to catch up and then and then get
2261,work um you know think that sort of back
2262,worked with penguin ever since when I
2263,working on is sort of testing it in
2264,world and really have never stopped in
2265,world but when I may when I did the when
2266,world with other people play for
2267,worries about what it might do but at
2268,worth a fortune
2269,would get into my writing space here or
2270,would go out and
2271,would have been interested in going
2272,would have been Montana yeah and but I
2273,would I I take the the pull model that
2274,would I would have shaped it differently
2275,would not have been as interesting or
2276,would say I always call it just bring in
2277,would type it up as far as I could go
2278,Wow which is just my own figure for it
2279,write long poems mine don't longest my
2280,write off the subject in that spot he
2281,writer and she said you know so much of
2282,writer I know a lot of tricks I know how
2283,writer in writing in longhand but some
2284,writers or have anything like that I
2285,writing almost go away yeah I was I was
2286,writing being about the thing and the
2287,writing finished do you and had this
2288,writing in hopes that your poems will
2289,writing in longhand and I used to say
2290,writing industry uh yeah I wanted to be
2291,writing is and there came an end and I
2292,writing more of this see how cuz I don't
2293,writing so that the more I noodle around
2294,written some of the poems that are going
2295,wrote until you had a book and they
2296,yeah
2297,yeah and and I do too I love getting the
2298,yeah and have you now that you do use a
2299,yeah and I every known and I think I
2300,yeah and that yeah I worry about that I
2301,yeah because I and and and it loosens me
2302,yeah but also sometimes I think that's
2303,yeah but but most of the correspondences
2304,yeah but then it turns out you can't get
2305,yeah I mean all the although you know
2306,yeah I mean which concerns me yes yes
2307,yeah I would have builded in 2007 and I
2308,yeah Jesus just saw a truck get hit by
2309,yeah okay I changed this you're right
2310,Yeah right I mean they're probably no
2311,yeah said Newcastle on shrine I came
2312,yeah so as your style of like writing
2313,yeah so it's sort of like the questions
2314,yeah the you know it's such an ongoing
2315,yeah well we've gotten so good at
2316,yeah when you save it it gives you a
2317,yeah which one it wait which one's
2318,yeah yeah it really not worth it is that
2319,yeah yeah it's just a pile and there's
2320,yeah yeah sorry I'm oh no it's okay you
2321,yeah yeah which is about six feet nine
2322,yeah you're right he doesn't have a
2323,year at U of I how long had I think was
2324,year they admitted students made name in
2325,years ago 25 years ago I think what's
2326,years ago and where was it
2327,years from so a couple things I don't
2328,years of theses finders and these how
2329,yes and you don't ever have like Ian to
2330,yes but I did you know I do have those
2331,you
2332,you advantages over previous of writing
2333,you call that a thesis holder so when
2334,you can buy them in the bookstore and
2335,you don't always do the best you can and
2336,you don't know
2337,you don't you can't really have a block
2338,you draft etc so that's sort of my first
2339,you have any other I mean I guess no
2340,you just feel no I mean everybody
2341,you just like once you heard you talk
2342,you kind of think of like how a poem
2343,you know bill Stafford always you sit
2344,you know it's a 40-mile drive yeah it
2345,you know you can save it and go back to
2346,you know you when I find copies in
2347,you might not have seen while you're in
2348,you need to open it up right here right
2349,you provide an individual piece and how
2350,you realize you realize what's missing I
2351,you revise a collection of works and
2352,you save it like as one poem or do you
2353,you to sort of spend a poem out outside
2354,you very much oh well it's my pleasure
2355,you you sort of realize that's what
2356,you'll see it you can visit I'm gonna
2357,your career starting with this portion
2358,your files and your folders how do you
2359,your individual works if you go along if
2360,your mind and the surface of the mind in
2361,your own for writing in that way
2362,your poems and you just weren't shit you
2363,your sort of your subjects but it it
2364,your spring binder man I have one oh so
2365,your what job are you working well
2366,your work to the server and you can most
2367,your writing is your life your
2368,your writing process we can write a talk
2369,you're available you're sort of at the
2370,you're coming I get office hours I don't
2371,you're not over that pet you know that a
2372,you're shivering going right up to them
2373,you're you're writing letters in the
2374,you've answered mostly you need to go
2375,you've been doing all along or it is
2376,you've ever written you just got to keep
2377,you've got published poems how do you
2378,you've written can you kind of talk
